ward,seed,staffing_factor,headcount,fte,fte_netto_bedarf,fte_brutto_ziel,soll_dienste,scenario,method,besetzungsquote,offene_slots,untergrenzen_verstoesse,harte_verstoesse,weiche_abweichungen,qualifikationsverstoesse,hilfskraftanteil,auslastung_mittel,auslastung_streuung,auslastung_spanne,arbeitszeitabweichung,planstabilitaet,geaenderte_zuweisungen,planungszeit_s,solver_status,krankheitsgutschrift_min
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S0,Greedy,1.0,0,0,0,20,0,0.1068,0.8546,0.0317,0.175,0.1454,1.0,0,0.516,,0
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S0,Greedy reaktiv,1.0,0,0,0,20,0,0.1068,0.8546,0.0317,0.175,0.1454,1.0,0,0.41,,0
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S0,MILP,1.0,0,0,0,0,0,0.1036,0.8521,0.0185,0.1046,0.1479,1.0,0,7.851,0,0
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S0,MILP reaktiv,1.0,0,0,0,0,0,0.1036,0.8521,0.0185,0.1046,0.1479,1.0,0,0.194,0,0
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S0,Greedy auf MILP-Plan,1.0,0,0,0,3,0,0.1036,0.8521,0.0185,0.1046,0.1479,0.9836,6,0.431,,0
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S0,MILP auf Greedy-Plan,1.0,0,0,0,20,0,0.1068,0.8546,0.0317,0.175,0.1454,1.0,0,0.191,0,0
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S1,Greedy,1.0,0,0,0,20,0,0.1068,0.8957,0.0481,0.2192,0.1086,0.2312,389,0.494,,6885
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S1,Greedy reaktiv,1.0,0,0,0,18,0,0.11,0.8921,0.0496,0.211,0.1113,0.9084,35,0.409,,6885
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S1,MILP,1.0,0,0,0,0,0,0.1003,0.886,0.0083,0.0338,0.114,0.2116,395,9.855,0,6930
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S1,MILP reaktiv,1.0,0,0,0,1,0,0.0971,0.8874,0.0371,0.1661,0.1135,0.9251,28,0.522,0,6930
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S1,Greedy auf MILP-Plan,1.0,0,0,0,4,0,0.0971,0.8974,0.0536,0.1667,0.1044,0.8857,44,0.433,,6930
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S1,MILP auf Greedy-Plan,1.0,0,0,0,18,0,0.1036,0.8935,0.034,0.173,0.1075,0.9259,28,0.923,0,6885
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S2,Greedy,1.0,0,0,0,19,0,0.11,0.8826,0.0413,0.1909,0.1183,0.3838,289,0.675,,3645
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S2,Greedy reaktiv,1.0,0,0,0,18,0,0.11,0.8764,0.0343,0.1461,0.1236,0.9415,22,0.501,,3645
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S2,MILP,1.0,0,0,0,0,0,0.11,0.8883,0.01,0.0406,0.1117,0.1647,416,14.453,0,5895
